Player ID,Username,First Name,Last Name,Race,Class,Level,Region,Guild,Weapon,Status,Join Date,ATK,DEF,SPD,HP,MP,Total Stat,Kills,Deaths,Quests Completed,Win Rate (%),Playtime (hrs), Gold Earned ,Is Premium,Gold Rank,Tier,Status Aktif,Performance,OP or Not,Recruitment Priority,Status Squad
PL0001,aiden_544,Aiden,Darkmantle,Dwarf,Rogue,75,Northland,Steel Fang,Dagger,Retired,2/14/2021,128,63,27,4917,2081,218,148,267,200,36%,7574," $533,299.00 ",Yes,235,Elite,FALSE,Poor,Normal,Medium,Reguler
PL0002,yara_720,Yara,Flameborn,Gnome,Monk,55,Ironpeak,Steel Fang,Dagger,Active,8/28/2019,88,33,37,4482,2100,158,1865,412,109,82%,," $187,683.00 ",No,405,Elite,TRUE,Excellent,Normal,Medium,Reguler
PL0003,dune_789,Dune,Wildhorn,Tiefling,Bard,73,Darkwood,Golden Leaf,Dagger,Retired,5/18/2020,92,60,60,853,556,212,3889,844,66,82%,1423," $334,478.00 ",Yes,341,Elite,FALSE,Excellent,Normal,High,Brawler
PL0004,kael_438,Kael,Emberveil,Human,Ranger,50,Suncoast,None,Spear,Retired,12/10/2021,113,108,77,2644,512,298,2605,905,204,74%,3900," $798,358.00 ",Yes,105,Veteran,FALSE,Excellent,Normal,Medium,Brawler
PL0005,seth_491,Seth,Frostborn,Dragonborn,Warrior,64,Silverdale,Iron Shield,Spear,,3/12/2018,46,51,43,4009,71,140,242,444,232,35%,8531," $607,955.00 ",Yes,201,Elite,FALSE,Poor,Normal,Medium,Reguler
PL0006,mira_877,Mira,Darkmantle,,Warrior,43,Ashenvale,None,Fists,Retired,11/6/2022,14,123,23,4104,1355,160,1108,229,7,83%,1499," $864,710.00 ",No,65,Veteran,FALSE,Excellent,Normal,Medium,Tanker
PL0007,delia_887,Delia,Stormcall,Human,,22,Northland,Crimson Dawn,Wand,Active,9/22/2022,68,129,139,2832,1161,336,4545,178,255,96%,4184," $954,984.00 ",Yes,23,Rookie,TRUE,Excellent,Normal,Medium,Elity Spy
PL0008,yara_356,Yara,Frostborn,Dwarf,Warrior,39,,Steel Fang,Axe,Banned,3/2/2020,66,139,31,3035,715,236,3617,487,18,88%,9899," $629,663.00 ",No,185,Veteran,FALSE,Excellent,Normal,Medium,Tanker
PL0009,hana_217,Hana,Darkmantle,Dragonborn,Mage,66,Northland,Iron Shield,Dagger,Inactive,10/7/2022,87,60,72,1712,121,219,2633,147,121,95%,457," $806,099.00 ",No,102,Elite,FALSE,Excellent,Normal,Medium,Brawler
PL0010,aria_507,Aria,Ironfist,Orc,Monk,98,Ashenvale,Iron Shield,Fists,Banned,8/12/2018,76,107,91,1624,630,274,1747,672,293,72%,5441," $652,078.00 ",No,174,Legend,FALSE,Excellent,Normal,Medium,Elity Spy
PL0011,tara_718,Tara,Flameborn,Tiefling,Rogue,7,Ashenvale,Steel Fang,Staff,Active,12/6/2022,,86,,2823,2095,280,4899,257,56,95%,5690," $858,203.00 ",No,70,Rookie,TRUE,Excellent,Normal,Medium,Reguler
PL0012,seth_845,Seth,,Dwarf,Rogue,70,Suncoast,None,Fists,,6/3/2024,95,42,147,3213,2265,284,504,336,252,60%,5495," $73,314.00 ",No,448,Elite,FALSE,Average,Normal,Medium,Elity Spy
PL0013,IVAN_976,Ivan,Ashgrove,Dwarf,Mage,53,Suncoast,Golden Leaf,Sword,Active,6/3/2024,48,51,139,4833,1088,238,1262,722,265,64%,9944," $156,160.00 ",Yes,419,Elite,TRUE,Average,Normal,Medium,Elity Spy
